uid,title,abstract,year,venue,authors,doi,arxiv_id,url,source,query,query_role,family,advisor_seed,citation_count,matched_terms,retrieved_at,relevance_score,hostile_score
doi:10.1177/16878140211004034,A hybrid control strategy for grinding and polishing robot based on adaptive impedance control,"In order to realize the active and compliant motion of the robot, it is necessary to eliminate the impact caused by processing contact. A hybrid control strategy for grinding and polishing robot is proposed based on adaptive impedance control. Firstly, an electrically driven linear end effector is designed for the robot system. The macro and micro motions control model of the robot is established, by using impedance control method, which based on the contact model of the robot system and the environment. Secondly, the active compliance method is adopted to establish adaptive force control and position tracking control strategies under impact conditions. Finally, the algorithm is verified by Simulink simulation and experiment. The simulation results are as follows: The position tracking error does not exceed 0.009 m, and the steady-state error of the force is less than 1 N. The experiment",2021,Advances in Mechanical Engineering,Haibo Zhou; Shitai Ma; Guilian Wang; Yuxin Deng; Zhenzhong Liu,10.1177/16878140211004034,,https://doi.org/10.1177/16878140211004034,crossref,hybrid systems robot control manipulation,anti_myopia,control,,65,force control; impedance control; hybrid systems,2026-06-12T15:07:36Z,23.895,26.895
doi:10.22214/ijraset.2026.79103,Adaptive Admittance-Impedance Switching Control for Safe Mobile Manipulation: A Door Opening Application with Predictive Anti-Slip Logic,"Robotic manipulation in contact-rich environments demands control mechanisms that guarantee the stability, safety, and adaptability of the robots, even in the presence of uncertain dynamics. The present work aims to outline an advanced compliant control architecture for mobile manipulators, particularly focusing on safe human-robot interaction and task execution reliability. The proposed control architecture utilizes an adaptive impedance-admittance switching control scheme, where the control modes are adapted according to real-time estimations of the environmental stiffness and Cartesian inertia properties. A vision-driven perception scheme, implemented by utilizing the vectorized RGB-D ray tracing model, allows for accurate 3D localization even in the presence of sensing noise. To increase the reliability of the interaction, the proposed control scheme utilizes the admittance complianc",2026,International Journal for Research in Applied Science and Engineering Technology,Amit Sable,10.22214/ijraset.2026.79103,,https://doi.org/10.22214/ijraset.2026.79103,crossref,model predictive control manipulation,anti_myopia,anti_thesis,,,mobile manipulation; model predictive control; human robot interaction; model predictive control manipulation,2026-06-12T15:07:36Z,22.600,26.600
doi:10.1177/027836499701600107,Force Tracking in Impedance Control,"This article presents two simple on-line schemes for force tracking within the impedance-control framework. The force- tracking capability of impedance control is particularly important for providing robustness in the presence of large uncertainties or variations in environmental parameters. The two proposed schemes generate the reference position trajec tory required to produce a desired contact force despite lack of knowledge of the environmental stiffness and location. The first scheme uses direct adaptive control to generate the refer ence position on-line as a function of the force-tracking error. Alternatively, the second scheme utilizes an indirect adaptive strategy in which the environmental parameters are estimated on-line, and the required reference position is computed based on these estimates. In both schemes, adaptation allows au tomatic gain adjustment to provide a uniform ",1997,The International Journal of Robotics Research,Homayoun Seraji; Richard Colbaugh,10.1177/027836499701600107,,https://doi.org/10.1177/027836499701600107,crossref,classical control robotics,anti_myopia,anti_thesis,,256,impedance control; limitation; robustness; classical control robotics,2026-06-12T15:07:36Z,20.375,26.375
doi:10.1108/ir-09-2019-0191,Smooth adaptive hybrid impedance control for robotic contact force tracking in dynamic environments,"Purpose The purpose of this paper is to take transient contact force response, overshoots and steady-state force tracking error problems into account to form an excellent force controller. Design/methodology/approach The basic impedance function with a pre-PID tuner is designed to improve the force response. A dynamic adaptive adjustment function that combines the advantages of hybrid impedance and adaptive hybrid impedance control is presented to achieve both force overshoots suppressing and tracking ability. Findings The introduced pre-PID tuner impedance function can achieve more than the pure impedance function in aspects of converging to the desired value and reducing the force overshoots. The performance of force overshoots suppression and force tracking error are maintained by introducing the dynamic adaptive sigma adjustment function. The simulation and experimental results both ",2020,Industrial Robot: the international journal of robotics research and application,Hongli Cao; Ye He; Xiaoan Chen; Xue Zhao,10.1108/ir-09-2019-0191,,https://doi.org/10.1108/ir-09-2019-0191,crossref,EBM transformer robotics industrial robot,concept,architecture_x_embodiment,,46,EBM transformer robotics; industrial robot; force control; impedance control,2026-06-12T15:07:36Z,25.925,25.925
doi:10.1115/dscc2015-9794,Stable Robust Adaptive Impedance Control of a Prosthetic Leg,"We propose a nonlinear robust model reference adaptive impedance controller for an active prosthetic leg for transfemoral amputees. We use an adaptive control term to consider the uncertain parameters of the system, and a robust control term so the system trajectories converge to a sliding mode boundary layer and exhibit robustness to variations of ground reaction force (GRF). The boundary layer not only compromises between control chattering and tracking performance, but also bounds the parameter adaptation to prevent unfavorable parameter drift. We also prove the stability of the controller for the robotic system in the case of non-scalar boundary layer trajectories using Lyapunov stability theory and Barbalat’s lemma. The acceleration-free regressor form of the system removes the need to measure the joint accelerations, which would otherwise introduce noise in the system. We use parti",2015,Volume 1: Adaptive and Intelligent Systems Control; Advances in Control Design Methods; Advances in Non-Linear and Optimal Control; Advances in Robotics; Advances in Wind Energy Systems; Aerospace Applications; Aerospace Power Optimization; Assistive Robotics; Automotive 2: Hybrid Electric Vehicles; Automotive 3: Internal Combustion Engines; Automotive Engine Control; Battery Management; Bio Engineering Applications; Biomed and Neural Systems; Connected Vehicles; Control of Robotic Systems,Vahid Azimi; Dan Simon; Hanz Richter,10.1115/dscc2015-9794,,https://doi.org/10.1115/dscc2015-9794,crossref,classical control robotics,anti_myopia,anti_thesis,,26,impedance control; robustness; classical control robotics,2026-06-12T15:07:36Z,19.898,25.898
doi:10.1016/j.robot.2018.01.009,Adaptive variable impedance control for dynamic contact force tracking in uncertain environment,,2018,Robotics and Autonomous Systems,Jinjun Duan; Yahui Gan; Ming Chen; Xianzhong Dai,10.1016/j.robot.2018.01.009,,https://doi.org/10.1016/j.robot.2018.01.009,crossref,EBM transformer robotics contact rich manipulation,concept,architecture_x_embodiment,,383,EBM transformer robotics; contact rich manipulation; impedance control,2026-06-12T15:07:36Z,25.175,25.175
doi:10.1109/iros47612.2022.9981728,Passivity-Based Skill Motion Learning in Stiffness-Adaptive Unified Force-Impedance Control,"Tactile robots shall be deployed for dynamic task execution in production lines with small batch sizes. Therefore, these robots should have the ability to respond to changing conditions and be easy to (re-)program. Operating under uncertain environments requires unifying subsystems such as robot motion and force policy into one framework, referred to as tactile skills. In this paper, we propose the enhancement of these skills for passivity-based skill motion learning in stiffness-adaptive unified force-impedance control. To achieve the increased level of adaptability, we represent all tactile skills by three basic primitives: contact initiation, manipulation, and contact termination. To ensure passivity and stability, we develop an energy-based approach for unified force-impedance control that allows humans to teach the robot motion through physical interaction during the execution of a ",2022,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Kübra Karacan; Hamid Sadeghian; Robin Jeanne Kirschner; Sami Haddadin,10.1109/iros47612.2022.9981728,,https://doi.org/10.1109/iros47612.2022.9981728,openalex,energy based policy robotics,concept,ebm,,12,impedance control,2026-06-12T18:05:07Z,25.082,25.082
doi:10.1115/dscc2020-3296,Adaptive Impedance Control for the Haptic Shared Driving Task Based on Nonlinear MPC,"Abstract This paper presents an adaptive haptic shared control framework wherein a driver and an automation system are physically connected through a motorized steering wheel. The automation system is modeled as an intelligent agent that is not only capable of making decisions but also monitoring the human’s behavior and adjusting its behavior accordingly. To enable the automation system to smoothly exchange the control authority with the human partner, this paper introduces a novel self-regulating impedance controller for the automation system. To determine an optimal modulation policy, a cost function is defined. The terms of the cost function are assigned to minimize the performance error and reduce the disagreement between the human and automation system. To solve the optimal control problem, we employed a nonlinear model predictive approach and used the continuation generalized mini",2020,Volume 1: Adaptive/Intelligent Sys. Control; Driver Assistance/Autonomous Tech.; Control Design Methods; Nonlinear Control; Robotics; Assistive/Rehabilitation Devices; Biomedical/Neural Systems; Building Energy Systems; Connected Vehicle Systems; Control/Estimation of Energy Systems; Control Apps.; Smart Buildings/Microgrids; Education; Human-Robot Systems; Soft Mechatronics/Robotic Components/Systems; Energy/Power Systems; Energy Storage; Estimation/Identification; Vehicle Efficiency/Emissions,Vahid Izadi; Amir H. Ghasemi,10.1115/dscc2020-3296,,https://doi.org/10.1115/dscc2020-3296,crossref,hybrid systems robot control manipulation,anti_myopia,control,,4,impedance control; hybrid systems,2026-06-12T15:07:36Z,20.055,25.055
doi:10.1109/lra.2021.3066974,Bilateral Teleoperation With Adaptive Impedance Control for Contact Tasks,,2021,IEEE Robotics and Automation Letters,Youssef Michel; Rahaf Rahal; Claudio Pacchierotti; Paolo Robuffo Giordano; Dongheui Lee,10.1109/lra.2021.3066974,,https://doi.org/10.1109/lra.2021.3066974,crossref,contact dynamics robot learning,concept,contact,,83,contact dynamics; impedance control; teleoperation,2026-06-12T15:07:36Z,25.015,25.015
doi:10.11591/eei.v14i4.9487,Adaptive fuzzy sliding-mode control for robot manipulator with uncertain model and external disturbance,"In practice, robots operate as nonlinear systems and often encounter factors like nonlinear friction, load variations, and external disturbances during tasks. To address these challenges, a smart control approach has been developed that combines the strengths of fuzzy logic and sliding mode control (SMC) for precise robot manipulator positioning. The key benefit of SMC lies in its robustness, maintaining stability despite noise or parameter changes in the system. However, designing an SMC system often faces difficulties due to practical limitations, making deployment not always feasible in real-world applications. Additionally, a large control law amplitude can lead to chattering around the sliding surface. To overcome these issues, the study introduces a fuzzy logic-based method to adaptively estimate the control law's magnitude, guided by Lyapunov stability principles. This control sch",2025,Bulletin of Electrical Engineering and Informatics,Hoang Dinh Co; Nguyen Cao Cuong,10.11591/eei.v14i4.9487,,https://doi.org/10.11591/eei.v14i4.9487,crossref,robot foundation model failure mode,hostile,failure,,,robot foundation model; failure mode; limitation; robustness; deployment,2026-06-12T14:45:03Z,16.950,24.950
