method,split,seed,episode,stress_level,success,contact_ratio,mean_abs_force_error,post_shift_force_error,normalized_force_error,peak_overshoot,max_penetration,safety_violation_rate,slip_rate,chatter_rate,chatter_crossings,settling_latency,energy,work,final_progress,final_k_est,final_mu_est,token_switches,trajectory_samples
token_full,combined_stress,0,1000,,1,0.95833,5.70919,6.38616,0.33941,0.52928,0.01745,0.00000,0.03478,0.02609,3,120,3.70765,1.32541,0.80358,764.72663,0.45995,53,0:x-0.103:y-0.437:f0.00:tf10.78:p0.0000:tok1;15:x0.016:y-0.417:f6.64:tf10.78:p0.0162:tok5;30:x0.017:y-0.291:f6.51:tf10.78:p0.0168:tok3;45:x0.017:y-0.138:f6.44:tf10.78:p0.0166:tok3;60:x0.009:y-0.059:f7.61:tf10.78:p0.0094:tok5;75:x0.014:y-0.018:f10.65:tf16.82:p0.0139:tok5;90:x0.013:y0.066:f9.42:tf16.82:p0.0135:tok5;105:x0.013:y0.194:f10.85:tf16.82:p0.0131:tok5;119:x0.013:y0.260:f9.27:tf16.82:p0.0128:tok5
token_no_memory,combined_stress,0,1000,,1,0.95000,5.66284,6.39413,0.33665,0.47035,0.01771,0.00000,0.11404,0.03509,4,120,3.44153,1.29614,0.79664,748.66507,0.46191,10,0:x-0.110:y-0.417:f0.00:tf10.78:p0.0000:tok3;15:x0.017:y-0.402:f6.57:tf10.78:p0.0171:tok5;30:x0.017:y-0.302:f7.07:tf10.78:p0.0166:tok3;45:x0.017:y-0.142:f5.78:tf10.78:p0.0175:tok3;60:x0.009:y-0.063:f5.69:tf10.78:p0.0092:tok5;75:x0.013:y-0.029:f10.16:tf16.82:p0.0127:tok5;90:x0.013:y0.046:f8.98:tf16.82:p0.0129:tok5;105:x0.013:y0.174:f9.14:tf16.82:p0.0133:tok5;119:x0.013:y0.253:f10.27:tf16.82:p0.0134:tok5
token_no_discrete_tokens,combined_stress,0,1000,,0,0.95833,5.95265,6.72137,0.35388,1.22359,0.01764,0.00870,0.26087,0.03478,4,120,4.15339,1.49153,0.87165,749.49633,0.46275,0,0:x-0.114:y-0.423:f1.08:tf10.78:p0.0000:tok1;15:x0.017:y-0.403:f6.57:tf10.78:p0.0169:tok1;30:x0.015:y-0.278:f6.38:tf10.78:p0.0154:tok1;45:x0.017:y-0.101:f7.32:tf10.78:p0.0175:tok1;60:x0.008:y-0.036:f4.48:tf10.78:p0.0079:tok1;75:x0.013:y-0.003:f9.39:tf16.82:p0.0128:tok1;90:x0.012:y0.085:f8.54:tf16.82:p0.0117:tok1;105:x0.013:y0.252:f7.72:tf16.82:p0.0126:tok1;119:x0.013:y0.319:f9.63:tf16.82:p0.0126:tok1
token_no_force_update,combined_stress,0,1000,,0,0.95000,5.21869,5.53689,0.31025,1.06975,0.01738,0.00000,0.05263,0.01754,2,120,4.55026,1.10733,0.80726,420.00000,0.20000,45,0:x-0.122:y-0.442:f0.50:tf10.78:p0.0000:tok1;15:x0.017:y-0.418:f7.29:tf10.78:p0.0172:tok5;30:x0.017:y-0.291:f6.52:tf10.78:p0.0165:tok3;45:x0.017:y-0.135:f6.52:tf10.78:p0.0167:tok3;60:x0.008:y-0.062:f5.61:tf10.78:p0.0081:tok5;75:x0.015:y-0.026:f11.11:tf16.82:p0.0148:tok5;90:x0.014:y0.048:f12.01:tf16.82:p0.0141:tok5;105:x0.014:y0.181:f10.85:tf16.82:p0.0141:tok2;119:x0.015:y0.263:f11.42:tf16.82:p0.0146:tok5
token_no_transition_planner,combined_stress,0,1000,,0,0.95000,5.81888,6.43275,0.34593,1.20003,0.01787,0.00877,0.00000,0.03509,4,120,4.35148,0.81252,0.80994,747.92086,0.46143,62,0:x-0.117:y-0.419:f0.00:tf10.78:p0.0000:tok1;15:x0.017:y-0.402:f6.15:tf10.78:p0.0170:tok5;30:x0.017:y-0.293:f5.78:tf10.78:p0.0169:tok3;45:x0.017:y-0.144:f6.78:tf10.78:p0.0174:tok3;60:x0.009:y-0.058:f6.86:tf10.78:p0.0086:tok2;75:x0.014:y-0.016:f9.00:tf16.82:p0.0136:tok5;90:x0.013:y0.061:f9.33:tf16.82:p0.0129:tok5;105:x0.013:y0.188:f9.85:tf16.82:p0.0131:tok2;119:x0.014:y0.265:f11.44:tf16.82:p0.0136:tok5
token_no_safety_penalty,combined_stress,0,1000,,0,0.95000,5.76491,6.42724,0.34272,1.10500,0.01804,0.00000,0.10526,0.03509,4,120,4.47118,0.88548,0.80761,729.92350,0.46083,57,0:x-0.125:y-0.449:f0.00:tf10.78:p0.0000:tok1;15:x0.016:y-0.424:f5.93:tf10.78:p0.0164:tok5;30:x0.016:y-0.290:f6.09:tf10.78:p0.0159:tok3;45:x0.017:y-0.131:f6.62:tf10.78:p0.0169:tok3;60:x0.008:y-0.059:f6.24:tf10.78:p0.0081:tok2;75:x0.013:y-0.021:f9.53:tf16.82:p0.0134:tok2;90:x0.013:y0.064:f9.65:tf16.82:p0.0130:tok3;105:x0.014:y0.194:f10.73:tf16.82:p0.0136:tok5;119:x0.014:y0.263:f11.04:tf16.82:p0.0145:tok5
token_full,combined_stress,0,1001,,0,0.95000,5.55547,6.39769,0.32891,0.94819,0.02164,0.00000,0.00000,0.03509,4,120,4.14836,0.55869,0.75953,789.06599,0.52531,57,0:x-0.115:y-0.431:f0.50:tf10.60:p0.0000:tok1;15:x0.019:y-0.411:f5.09:tf10.60:p0.0191:tok5;30:x0.020:y-0.294:f7.34:tf10.60:p0.0200:tok3;45:x0.020:y-0.144:f5.75:tf10.60:p0.0199:tok3;60:x0.001:y-0.019:f0.44:tf10.60:p0.0011:tok1;75:x0.013:y0.021:f13.03:tf16.89:p0.0126:tok2;90:x0.012:y0.057:f8.70:tf16.89:p0.0123:tok5;105:x0.012:y0.154:f10.14:tf16.89:p0.0122:tok5;119:x0.012:y0.222:f10.28:tf16.89:p0.0119:tok5
token_no_memory,combined_stress,0,1001,,0,0.95000,5.40389,6.33816,0.31993,0.50316,0.02120,0.00000,0.08772,0.03509,4,120,3.18543,1.04877,0.74120,805.38663,0.52628,10,0:x-0.122:y-0.428:f0.00:tf10.60:p0.0000:tok3;15:x0.019:y-0.412:f6.62:tf10.60:p0.0191:tok5;30:x0.020:y-0.303:f6.20:tf10.60:p0.0197:tok3;45:x0.020:y-0.144:f6.85:tf10.60:p0.0204:tok3;60:x0.003:y-0.013:f2.33:tf10.60:p0.0030:tok3;75:x0.012:y0.017:f11.06:tf16.89:p0.0119:tok5;90:x0.013:y0.047:f10.99:tf16.89:p0.0129:tok5;105:x0.013:y0.128:f9.48:tf16.89:p0.0128:tok5;119:x0.013:y0.205:f9.88:tf16.89:p0.0128:tok5
token_no_discrete_tokens,combined_stress,0,1001,,1,0.95833,5.62384,6.68462,0.33295,0.95937,0.02151,0.00000,0.15652,0.03478,4,120,3.76693,1.21670,0.80765,799.52466,0.52854,0,0:x-0.107:y-0.441:f0.00:tf10.60:p0.0000:tok1;15:x0.019:y-0.414:f6.20:tf10.60:p0.0188:tok1;30:x0.020:y-0.272:f8.38:tf10.60:p0.0204:tok1;45:x0.020:y-0.099:f6.96:tf10.60:p0.0200:tok1;60:x0.001:y0.007:f1.23:tf10.60:p0.0011:tok1;75:x0.011:y0.037:f11.05:tf16.89:p0.0108:tok1;90:x0.012:y0.075:f9.59:tf16.89:p0.0121:tok1;105:x0.012:y0.181:f10.22:tf16.89:p0.0122:tok1;119:x0.012:y0.263:f9.07:tf16.89:p0.0116:tok1
token_no_force_update,combined_stress,0,1001,,0,0.95000,5.16753,5.51168,0.30594,0.94080,0.02098,0.00000,0.05263,0.03509,4,120,4.06911,0.71465,0.75676,420.00000,0.20000,45,0:x-0.108:y-0.433:f0.00:tf10.60:p0.0000:tok1;15:x0.020:y-0.412:f6.55:tf10.60:p0.0199:tok5;30:x0.018:y-0.293:f5.97:tf10.60:p0.0183:tok3;45:x0.019:y-0.136:f7.14:tf10.60:p0.0188:tok3;60:x0.003:y-0.009:f1.24:tf10.60:p0.0027:tok1;75:x0.014:y0.025:f14.20:tf16.89:p0.0140:tok0;90:x0.013:y0.052:f10.23:tf16.89:p0.0134:tok5;105:x0.012:y0.136:f8.89:tf16.89:p0.0123:tok5;119:x0.014:y0.219:f11.19:tf16.89:p0.0140:tok5
