method,split,seed,episode,stress_level,success,contact_ratio,mean_abs_force_error,post_shift_force_error,normalized_force_error,peak_overshoot,max_penetration,safety_violation_rate,slip_rate,chatter_rate,chatter_crossings,settling_latency,energy,work,final_progress,final_k_est,final_mu_est,token_switches,trajectory_samples
fixed_impedance,nominal_surface_tracking,0,0,,1,0.91667,1.86963,0.23408,0.15830,1.80550,0.04300,0.04545,0.59091,0.01136,1,5,0.85587,-0.06723,0.82902,413.95279,0.15498,0,0:x-0.109:y-0.441:f0.09:tf11.57:p0.0000:tok-1;15:x0.040:y-0.431:f17.44:tf11.57:p0.0401:tok-1;30:x0.027:y-0.360:f11.27:tf11.57:p0.0265:tok-1;45:x0.027:y-0.236:f11.84:tf11.57:p0.0273:tok-1;60:x0.028:y-0.084:f11.47:tf11.81:p0.0278:tok-1;75:x0.028:y0.080:f11.69:tf11.81:p0.0281:tok-1;90:x0.029:y0.235:f11.42:tf11.81:p0.0285:tok-1;95:x0.028:y0.276:f11.85:tf11.81:p0.0285:tok-1
gain_scheduled_impedance,nominal_surface_tracking,0,0,,0,0.90625,1.34716,0.22101,0.11406,1.04395,0.02842,0.00000,0.62069,0.00000,0,5,0.83835,-0.11586,0.87395,413.21714,0.15501,0,0:x-0.128:y-0.426:f0.62:tf11.57:p0.0000:tok-1;15:x0.025:y-0.418:f11.14:tf11.57:p0.0248:tok-1;30:x0.026:y-0.342:f11.55:tf11.57:p0.0262:tok-1;45:x0.027:y-0.211:f11.14:tf11.57:p0.0269:tok-1;60:x0.027:y-0.051:f11.62:tf11.81:p0.0274:tok-1;75:x0.028:y0.119:f11.69:tf11.81:p0.0281:tok-1;90:x0.028:y0.276:f11.61:tf11.81:p0.0282:tok-1;95:x0.028:y0.315:f11.25:tf11.81:p0.0284:tok-1
adaptive_impedance_control,nominal_surface_tracking,0,0,,1,0.92708,1.22708,0.36125,0.10389,1.22578,0.02929,0.00000,0.59551,0.01124,1,5,0.86828,-0.13842,0.85918,417.18199,0.15492,0,0:x-0.106:y-0.422:f0.00:tf11.57:p0.0000:tok-1;15:x0.028:y-0.412:f12.11:tf11.57:p0.0276:tok-1;30:x0.027:y-0.341:f11.81:tf11.57:p0.0268:tok-1;45:x0.028:y-0.216:f11.77:tf11.57:p0.0277:tok-1;60:x0.028:y-0.061:f12.13:tf11.81:p0.0284:tok-1;75:x0.029:y0.106:f12.18:tf11.81:p0.0292:tok-1;90:x0.029:y0.262:f12.25:tf11.81:p0.0291:tok-1;95:x0.029:y0.302:f12.37:tf11.81:p0.0291:tok-1
admittance_switching_control,nominal_surface_tracking,0,0,,1,0.92708,1.24850,0.19876,0.10571,1.63917,0.02927,0.00000,0.57303,0.01124,1,5,1.14185,-0.20145,0.82929,418.49152,0.15497,0,0:x-0.116:y-0.431:f0.00:tf11.57:p0.0000:tok-1;15:x0.028:y-0.421:f12.29:tf11.57:p0.0277:tok-1;30:x0.026:y-0.352:f11.90:tf11.57:p0.0262:tok-1;45:x0.027:y-0.232:f10.93:tf11.57:p0.0265:tok-1;60:x0.027:y-0.082:f11.84:tf11.81:p0.0273:tok-1;75:x0.028:y0.081:f11.54:tf11.81:p0.0279:tok-1;90:x0.028:y0.236:f11.87:tf11.81:p0.0282:tok-1;95:x0.028:y0.276:f11.90:tf11.81:p0.0282:tok-1
robust_mpc_impedance,nominal_surface_tracking,0,0,,0,0.85417,3.14103,1.10708,0.26594,0.99095,0.02598,0.00000,0.45122,0.00000,0,5,0.34960,-0.01099,0.68608,416.65921,0.15505,0,0:x-0.109:y-0.443:f0.23:tf11.57:p0.0000:tok-1;15:x0.008:y-0.443:f5.33:tf11.57:p0.0081:tok-1;30:x0.022:y-0.397:f9.50:tf11.57:p0.0216:tok-1;45:x0.024:y-0.302:f9.99:tf11.57:p0.0237:tok-1;60:x0.025:y-0.177:f10.63:tf11.81:p0.0251:tok-1;75:x0.026:y-0.033:f10.48:tf11.81:p0.0256:tok-1;90:x0.026:y0.111:f11.00:tf11.81:p0.0258:tok-1;95:x0.026:y0.152:f10.69:tf11.81:p0.0259:tok-1
learned_gain_regressor,nominal_surface_tracking,0,0,,0,0.90625,1.94011,0.78109,0.16426,1.15267,0.03103,0.00000,0.62069,0.00000,0,5,0.70819,-0.15493,0.85754,418.66086,0.15474,0,0:x-0.118:y-0.417:f0.03:tf11.57:p0.0000:tok-1;15:x0.022:y-0.409:f9.70:tf11.57:p0.0218:tok-1;30:x0.025:y-0.334:f10.78:tf11.57:p0.0245:tok-1;45:x0.027:y-0.202:f10.93:tf11.57:p0.0267:tok-1;60:x0.029:y-0.046:f11.83:tf11.81:p0.0288:tok-1;75:x0.030:y0.115:f12.55:tf11.81:p0.0301:tok-1;90:x0.031:y0.263:f13.18:tf11.81:p0.0310:tok-1;95:x0.031:y0.301:f13.45:tf11.81:p0.0310:tok-1
random_forest_gain_regressor,nominal_surface_tracking,0,0,,1,0.89583,2.05138,0.41432,0.17369,1.03771,0.02728,0.00000,0.54651,0.00000,0,5,0.61979,-0.15155,0.80490,422.13772,0.15500,0,0:x-0.117:y-0.413:f0.00:tf11.57:p0.0000:tok-1;15:x0.017:y-0.409:f8.30:tf11.57:p0.0166:tok-1;30:x0.024:y-0.351:f10.48:tf11.57:p0.0244:tok-1;45:x0.026:y-0.240:f11.06:tf11.57:p0.0263:tok-1;60:x0.027:y-0.097:f11.79:tf11.81:p0.0268:tok-1;75:x0.027:y0.061:f11.29:tf11.81:p0.0272:tok-1;90:x0.027:y0.214:f11.78:tf11.81:p0.0272:tok-1;95:x0.027:y0.255:f11.48:tf11.81:p0.0272:tok-1
hist_gradient_gain_regressor,nominal_surface_tracking,0,0,,0,0.89583,1.96229,0.37131,0.16614,1.03725,0.02803,0.00000,0.61628,0.00000,0,5,0.64349,-0.15484,0.84152,418.18383,0.15500,0,0:x-0.117:y-0.430:f0.00:tf11.57:p0.0000:tok-1;15:x0.017:y-0.423:f8.68:tf11.57:p0.0173:tok-1;30:x0.025:y-0.346:f10.65:tf11.57:p0.0247:tok-1;45:x0.026:y-0.219:f11.00:tf11.57:p0.0261:tok-1;60:x0.027:y-0.067:f10.97:tf11.81:p0.0265:tok-1;75:x0.028:y0.095:f11.85:tf11.81:p0.0280:tok-1;90:x0.027:y0.247:f11.04:tf11.81:p0.0273:tok-1;95:x0.028:y0.287:f11.54:tf11.81:p0.0279:tok-1
ensemble_uncertainty_gain,nominal_surface_tracking,0,0,,0,0.89583,2.04520,0.26031,0.17316,1.05414,0.02880,0.00000,0.65116,0.00000,0,5,0.65328,-0.16018,0.83191,416.85242,0.15497,0,0:x-0.122:y-0.445:f0.00:tf11.57:p0.0000:tok-1;15:x0.017:y-0.439:f8.06:tf11.57:p0.0167:tok-1;30:x0.024:y-0.364:f9.96:tf11.57:p0.0238:tok-1;45:x0.026:y-0.232:f11.18:tf11.57:p0.0261:tok-1;60:x0.027:y-0.077:f11.76:tf11.81:p0.0271:tok-1;75:x0.028:y0.086:f11.95:tf11.81:p0.0279:tok-1;90:x0.029:y0.239:f11.79:tf11.81:p0.0287:tok-1;95:x0.028:y0.278:f11.69:tf11.81:p0.0283:tok-1
risk_averse_impedance,nominal_surface_tracking,0,0,,0,0.86458,3.63427,1.92430,0.30770,0.89119,0.02392,0.00000,0.24096,0.00000,0,5,0.43530,-0.06507,0.61098,416.86033,0.15501,0,0:x-0.125:y-0.435:f0.00:tf11.57:p0.0000:tok-1;15:x0.010:y-0.434:f6.16:tf11.57:p0.0102:tok-1;30:x0.020:y-0.397:f9.07:tf11.57:p0.0204:tok-1;45:x0.022:y-0.319:f9.68:tf11.57:p0.0220:tok-1;60:x0.023:y-0.212:f9.63:tf11.81:p0.0230:tok-1;75:x0.024:y-0.085:f9.76:tf11.81:p0.0238:tok-1;90:x0.024:y0.048:f9.42:tf11.81:p0.0238:tok-1;95:x0.024:y0.088:f9.62:tf11.81:p0.0239:tok-1
conformal_safety_gain,nominal_surface_tracking,0,0,,0,0.89583,2.12278,0.38900,0.17973,1.04012,0.02787,0.00000,0.60465,0.01163,1,5,0.67237,-0.16594,0.83020,419.80625,0.15500,0,0:x-0.122:y-0.429:f0.00:tf11.57:p0.0000:tok-1;15:x0.016:y-0.423:f7.88:tf11.57:p0.0157:tok-1;30:x0.024:y-0.352:f10.43:tf11.57:p0.0241:tok-1;45:x0.026:y-0.226:f11.19:tf11.57:p0.0257:tok-1;60:x0.027:y-0.076:f11.09:tf11.81:p0.0266:tok-1;75:x0.027:y0.085:f11.47:tf11.81:p0.0273:tok-1;90:x0.027:y0.237:f11.71:tf11.81:p0.0274:tok-1;95:x0.028:y0.277:f11.77:tf11.81:p0.0279:tok-1
impedance_token_policy_v4,nominal_surface_tracking,0,0,,1,0.89583,2.12687,1.13774,0.18008,1.07096,0.02683,0.00000,0.59302,0.01163,1,5,0.81496,-0.09859,0.76748,416.90623,0.15511,48,0:x-0.123:y-0.436:f0.00:tf11.57:p0.0000:tok1;15:x0.023:y-0.430:f9.82:tf11.57:p0.0229:tok7;30:x0.025:y-0.365:f11.26:tf11.57:p0.0251:tok6;45:x0.025:y-0.247:f10.29:tf11.57:p0.0248:tok4;60:x0.023:y-0.117:f10.14:tf11.81:p0.0230:tok4;75:x0.026:y0.025:f10.68:tf11.81:p0.0260:tok3;90:x0.027:y0.179:f11.12:tf11.81:p0.0267:tok3;95:x0.027:y0.222:f11.31:tf11.81:p0.0265:tok7
