method,split,seed,episodes,success_rate,mean_mean_abs_force_error,mean_post_shift_force_error,mean_normalized_force_error,mean_peak_overshoot,mean_safety_violation_rate,mean_slip_rate,mean_chatter_rate,mean_settling_latency,mean_energy,mean_final_progress,mean_token_switches
adaptive_impedance_control,actuator_saturation,0,6,1.00000,1.96376,0.84885,0.11223,1.73372,0.01498,0.58240,0.02435,5.00000,0.88386,0.83583,0.00000
adaptive_impedance_control,actuator_saturation,1,6,1.00000,1.83699,0.76545,0.10879,1.63279,0.00749,0.57865,0.03558,5.00000,0.95035,0.83418,0.00000
adaptive_impedance_control,actuator_saturation,2,6,1.00000,1.83344,0.98022,0.10585,1.50228,0.00187,0.57865,0.03745,5.50000,0.91595,0.83741,0.00000
adaptive_impedance_control,actuator_saturation,3,6,0.83333,1.95359,0.76506,0.11417,1.68788,0.01311,0.58614,0.04682,5.00000,0.93227,0.83349,0.00000
adaptive_impedance_control,actuator_saturation,4,6,1.00000,1.82658,1.01517,0.10804,1.55973,0.00375,0.57759,0.02620,6.00000,0.94305,0.83650,0.00000
adaptive_impedance_control,actuator_saturation,5,6,1.00000,1.83572,0.82593,0.10652,1.55906,0.00375,0.57678,0.02996,5.00000,0.94821,0.83687,0.00000
adaptive_impedance_control,actuator_saturation,6,6,0.83333,1.96707,0.79744,0.11369,1.64571,0.01311,0.57865,0.03933,5.00000,0.94362,0.83325,0.00000
adaptive_impedance_control,actuator_saturation,7,6,1.00000,1.86291,0.75328,0.10925,1.55516,0.00562,0.57865,0.03933,5.00000,0.95193,0.83561,0.00000
adaptive_impedance_control,combined_extreme_stress,0,6,1.00000,2.14511,1.46536,0.11691,1.64032,0.00375,0.53096,0.12006,5.00000,0.80871,0.79284,0.00000
adaptive_impedance_control,combined_extreme_stress,1,6,0.83333,2.35811,2.19839,0.12600,1.72470,0.00751,0.52255,0.13353,7.00000,0.89206,0.80003,0.00000
adaptive_impedance_control,combined_extreme_stress,2,6,1.00000,2.25347,1.70573,0.12179,1.67919,0.00754,0.53566,0.13734,5.83333,0.81939,0.80194,0.00000
adaptive_impedance_control,combined_extreme_stress,3,6,1.00000,2.24661,2.41044,0.12646,1.56194,0.01124,0.53673,0.14120,7.33333,0.85692,0.80389,0.00000
adaptive_impedance_control,combined_extreme_stress,4,6,1.00000,2.25147,2.03520,0.11749,1.54035,0.00000,0.53111,0.12811,6.66667,0.86063,0.80434,0.00000
adaptive_impedance_control,combined_extreme_stress,5,6,1.00000,2.31907,2.10616,0.12720,1.54744,0.00000,0.52917,0.13924,8.00000,0.88029,0.80401,0.00000
adaptive_impedance_control,combined_extreme_stress,6,6,1.00000,2.15434,1.68545,0.11326,1.59006,0.00377,0.53017,0.14352,5.00000,0.84183,0.79994,0.00000
adaptive_impedance_control,combined_extreme_stress,7,6,1.00000,2.05101,1.60540,0.11155,1.57397,0.00000,0.52736,0.12619,5.66667,0.85830,0.79793,0.00000
adaptive_impedance_control,combined_stress,0,6,0.66667,2.16107,1.03407,0.12783,1.87289,0.02809,0.55056,0.05056,5.00000,0.80895,0.79766,0.00000
adaptive_impedance_control,combined_stress,1,6,1.00000,2.05599,0.99549,0.12535,1.78257,0.01507,0.53950,0.08091,5.00000,0.85419,0.79452,0.00000
adaptive_impedance_control,combined_stress,2,6,1.00000,2.08997,1.02855,0.12309,1.74301,0.01498,0.54409,0.10313,5.00000,0.81991,0.79777,0.00000
adaptive_impedance_control,combined_stress,3,6,1.00000,2.02212,1.05001,0.12175,1.65234,0.00936,0.55535,0.07501,5.00000,0.83365,0.79581,0.00000
adaptive_impedance_control,combined_stress,4,6,0.83333,2.08980,0.97471,0.12324,1.77009,0.02622,0.52996,0.05993,5.00000,0.85221,0.79272,0.00000
adaptive_impedance_control,combined_stress,5,6,1.00000,1.88622,1.04652,0.11348,1.62256,0.00562,0.54601,0.09753,5.00000,0.84309,0.79416,0.00000
adaptive_impedance_control,combined_stress,6,6,1.00000,2.01015,1.17050,0.11773,1.66111,0.00562,0.54324,0.09961,5.33333,0.85305,0.80055,0.00000
adaptive_impedance_control,combined_stress,7,6,1.00000,2.04366,1.44286,0.11644,1.60955,0.00187,0.53371,0.08801,6.33333,0.86316,0.79073,0.00000
adaptive_impedance_control,contact_transition,0,6,1.00000,1.65030,0.63566,0.11207,1.44003,0.00000,0.58053,0.01873,5.00000,0.83864,0.82862,0.00000
